DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2022-03-03,4363.49,4796.56,3269.96
2022-03-04,4328.87,4796.56,3269.96
2022-03-07,4201.09,4796.56,3269.96
2022-03-08,4170.7,4796.56,3269.96
2022-03-09,4277.88,4796.56,3269.96
2022-03-10,4259.52,4796.56,3269.96
2022-03-11,4204.31,4796.56,3269.96
2022-03-14,4173.11,4796.56,3269.96
2022-03-15,4262.45,4796.56,3269.96
2022-03-16,4357.86,4796.56,3269.96
2022-03-17,4411.67,4796.56,3269.96
2022-03-18,4463.12,4796.56,3269.96
2022-03-21,4461.18,4796.56,3269.96
2022-03-22,4511.61,4796.56,3269.96
2022-03-23,4456.24,4796.56,3269.96
2022-03-24,4520.16,4796.56,3269.96
2022-03-25,4543.06,4796.56,3310.24
2022-03-28,4575.52,4796.56,3369.16
2022-03-29,4631.6,4796.56,3443.44
2022-03-30,4602.45,4796.56,3509.44
2022-03-31,4530.41,4796.56,3509.44
2022-04-01,4545.86,4796.56,3537.01
2022-04-04,4582.64,4796.56,3537.01
2022-04-05,4525.12,4796.56,3537.01
2022-04-06,4481.15,4796.56,3537.01
2022-04-07,4500.21,4796.56,3557.54
2022-04-08,4488.28,4796.56,3557.54
2022-04-11,4412.53,4796.56,3557.54
2022-04-12,4397.45,4796.56,3557.54
2022-04-13,4446.59,4796.56,3557.54
2022-04-14,4392.59,4796.56,3557.54
2022-04-15,,4796.56,3577.59
2022-04-18,4391.69,4796.56,3621.63
2022-04-19,4462.21,4796.56,3621.63
2022-04-20,4459.45,4796.56,3621.63
2022-04-21,4393.66,4796.56,3621.63
2022-04-22,4271.78,4796.56,3621.63
2022-04-25,4296.12,4796.56,3647.49
2022-04-26,4175.2,4796.56,3647.49
2022-04-27,4183.96,4796.56,3647.49
2022-04-28,4287.5,4796.56,3647.49
2022-04-29,4131.93,4796.56,3647.49
2022-05-02,4155.38,4796.56,3647.49
2022-05-03,4175.48,4796.56,3647.49
2022-05-04,4300.17,4796.56,3647.49
2022-05-05,4146.87,4796.56,3647.49
2022-05-06,4123.34,4796.56,3647.49
2022-05-09,3991.24,4796.56,3687.26
2022-05-10,4001.05,4796.56,3687.26
2022-05-11,3935.18,4796.56,3687.26
2022-05-12,3930.08,4796.56,3687.26
2022-05-13,4023.89,4796.56,3687.26
2022-05-16,4008.01,4796.56,3687.26
2022-05-17,4088.85,4796.56,3690.01
2022-05-18,3923.68,4796.56,3700.65
2022-05-19,3900.79,4796.56,3700.65
2022-05-20,3901.36,4796.56,3700.65
2022-05-23,3973.75,4796.56,3700.65
2022-05-24,3941.48,4796.56,3700.65
2022-05-25,3978.73,4796.56,3700.65
2022-05-26,4057.84,4796.56,3700.65
2022-05-27,4158.24,4796.56,3700.65
2022-05-30,,4796.56,3714.24
2022-05-31,4132.15,4796.56,3714.24
2022-06-01,4101.23,4796.56,3714.24
2022-06-02,4176.82,4796.56,3714.24
2022-06-03,4108.54,4796.56,3714.24
2022-06-06,4121.43,4796.56,3714.24
2022-06-07,4160.68,4796.56,3714.24
2022-06-08,4115.77,4796.56,3714.24
2022-06-09,4017.82,4796.56,3714.24
2022-06-10,3900.86,4796.56,3714.24
2022-06-13,3749.63,4796.56,3714.24
2022-06-14,3735.48,4796.56,3714.24
2022-06-15,3789.99,4796.56,3714.24
2022-06-16,3666.77,4796.56,3666.77
2022-06-17,3674.84,4796.56,3666.77
2022-06-20,,4796.56,3666.77
2022-06-21,3764.79,4796.56,3666.77
2022-06-22,3759.89,4796.56,3666.77
2022-06-23,3795.73,4796.56,3666.77
2022-06-24,3911.74,4796.56,3666.77
2022-06-27,3900.11,4796.56,3666.77
2022-06-28,3821.55,4796.56,3666.77
2022-06-29,3818.83,4796.56,3666.77
2022-06-30,3785.38,4796.56,3666.77
2022-07-01,3825.33,4796.56,3666.77
2022-07-04,,4796.56,3666.77
2022-07-05,3831.39,4796.56,3666.77
2022-07-06,3845.08,4796.56,3666.77
2022-07-07,3902.62,4796.56,3666.77
2022-07-08,3899.38,4796.56,3666.77
2022-07-11,3854.43,4796.56,3666.77
2022-07-12,3818.8,4796.56,3666.77
2022-07-13,3801.78,4796.56,3666.77
2022-07-14,3790.38,4796.56,3666.77
2022-07-15,3863.16,4796.56,3666.77
2022-07-18,3830.85,4796.56,3666.77
2022-07-19,3936.69,4796.56,3666.77
2022-07-20,3959.9,4796.56,3666.77
2022-07-21,3998.95,4796.56,3666.77
2022-07-22,3961.63,4796.56,3666.77
2022-07-25,3966.84,4796.56,3666.77
2022-07-26,3921.05,4796.56,3666.77
2022-07-27,4023.61,4796.56,3666.77
2022-07-28,4072.43,4796.56,3666.77
2022-07-29,4130.29,4796.56,3666.77
2022-08-01,4118.63,4796.56,3666.77
2022-08-02,4091.19,4796.56,3666.77
2022-08-03,4155.17,4796.56,3666.77
2022-08-04,4151.94,4796.56,3666.77
2022-08-05,4145.19,4796.56,3666.77
2022-08-08,4140.06,4796.56,3666.77
2022-08-09,4122.47,4796.56,3666.77
2022-08-10,4210.24,4796.56,3666.77
2022-08-11,4207.27,4796.56,3666.77
2022-08-12,4280.15,4796.56,3666.77
2022-08-15,4297.14,4796.56,3666.77
2022-08-16,4305.2,4796.56,3666.77
2022-08-17,4274.04,4796.56,3666.77
2022-08-18,4283.74,4796.56,3666.77
2022-08-19,4228.48,4796.56,3666.77
2022-08-22,4137.99,4796.56,3666.77
2022-08-23,4128.73,4796.56,3666.77
2022-08-24,4140.77,4796.56,3666.77
2022-08-25,4199.12,4796.56,3666.77
